BCAROH: Minimum = 3.20703447463719e-17, Maximum = 0.0001948821831992235, Range = 0.00019488218319919142
BCAROKT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BCRPTXANH: Minimum = 0.0, Maximum = 0.00019488218319922351, Range = 0.00019488218319922351
LCYA: Minimum = 0.0, Maximum = 0.0003597824920799214, Range = 0.0003597824920799214
LCYB: Minimum = 0.0, Maximum = 0.0004048324491487309, Range = 0.0004048324491487309
LCYD: Minimum = 0.0, Maximum = 0.0003597824920799214, Range = 0.0003597824920799214
LCYE: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LCYG: Minimum = 0.0, Maximum = 0.00040483244914873095, Range = 0.00040483244914873095
LUTH: Minimum = 0.0, Maximum = 9.744109160497865e-05, Range = 9.744109160497865e-05
NEOXANS: Minimum = 0.0, Maximum = 8.24501544349819e-05, Range = 8.24501544349819e-05
NOR: Minimum = 0.0, Maximum = 0.0007646149411809388, Range = 0.0007646149411809388
PDS1: Minimum = 0.0, Maximum = 0.0007646149413428327, Range = 0.0007646149413428327
PDS2: Minimum = 0.0, Maximum = 0.0007646149413428328, Range = 0.0007646149413428328
VIOXANOR: Minimum = -0.00013491843450227155, Maximum = 58.692558592400225, Range = 58.69269351083473
ZDS: Minimum = 2.3619209571954876e-15, Maximum = 0.0007646149409526817, Range = 0.0007646149409503198
TCZCARI: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TCLYCI: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ANXANOR: Minimum = 0.0, Maximum = 58.69269351083554, Range = 58.69269351083554
CHYA1: Minimum = 0.0, Maximum = 0.000284827806328597, Range = 0.000284827806328597
CHYA2: Minimum = 0.0, Maximum = 0.00028482780636643356, Range = 0.00028482780636643356
CXHY: Minimum = 0.0, Maximum = 0.0002848278063285971, Range = 0.0002848278063285971
PSY: Minimum = 0.0, Maximum = 0.000764614941453915, Range = 0.000764614941453915
ZAXANOR: Minimum = 0.0, Maximum = 58.69269351083555, Range = 58.69269351083555
ZHY: Minimum = 0.0, Maximum = 0.0002848278062296169, Range = 0.0002848278062296169
PHYTOOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DCPHYTFLOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DCZCAROR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CY_focytc_h: Minimum = 0.0, Maximum = 1.0000000002688765, Range = 1.0000000002688765
CY_focytb5_c: Minimum = 0.0, Maximum = 21.151459679137687, Range = 21.151459679137687
ETF: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
ETFQO: Minimum = 0.0, Maximum = 1000.0000000000002, Range = 1000.0000000000002
CYSTAm: Minimum = 8.411623020302473e-30, Maximum = 1000.0, Range = 1000.0
MERCPPYRST: Minimum = 0.0, Maximum = 163.51705367333182, Range = 163.51705367333182
3SPYRSPh: Minimum = 7.000914447985565e-16, Maximum = 196.95725727579782, Range = 196.95725727579782
3SPYRSPm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ACSERSULL: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ACSERSULLh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ACSERSULLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SHSL1h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SHSL2h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
SHSL4h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CSLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CSLh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AATC: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AATCm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AATG: Minimum = 0.0, Maximum = 196.9572572758405, Range = 196.9572572758405
AATGm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CTINBL: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYSATm: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
CYSAT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYSDO: Minimum = 0.0, Maximum = 196.9572572758396, Range = 196.9572572758396
CYSS: Minimum = 0.0, Maximum = 196.9572572758399, Range = 196.9572572758399
CYSS_trdrd: Minimum = 0.0, Maximum = 163.51705367341742, Range = 163.51705367341742
CYSTBL: Minimum = 0.0, Maximum = 196.95725727584218, Range = 196.95725727584218
CYSTL: Minimum = 0.0, Maximum = 163.51705367334137, Range = 163.51705367334137
CYSTAH: Minimum = 0.0, Maximum = 163.517053673346, Range = 163.517053673346
SAT: Minimum = 0.0, Maximum = 264.29747885671793, Range = 264.29747885671793
SATm: Minimum = 0.0, Maximum = 264.29747885678603, Range = 264.29747885678603
DM_apotfen_h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_asnglcnacglcnacman_LPAREN_man_RPAREN_man_c: Minimum = -6.347515616222616e-14, Maximum = 0.25000000000062395, Range = 0.2500000000006874
DM_bhb_m: Minimum = 0.0, Maximum = 125.0424528090206, Range = 125.0424528090206
DM_bhb_x: Minimum = 0.0, Maximum = 125.0424528090098, Range = 125.0424528090098
DM_cat_c: Minimum = 0.0, Maximum = 967.2870803046476, Range = 967.2870803046476
DM_ficytb5_c: Minimum = 0.0, Maximum = 0.0, Range = 0.0
