LCYB: Minimum = 0.00014041750795877709, Maximum = 0.00014044419721837413, Range = 2.668925959704578e-08
LCYD: Minimum = 0.00012481556263002416, Maximum = 0.00012481549684088575, Range = -6.578913840571063e-11
LCYE: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LCYG: Minimum = 0.00014041750795877709, Maximum = 0.00014044419721783276, Range = 2.668925905567653e-08
LUTH: Minimum = 3.3804214878964845e-05, Maximum = 3.3804197061073206e-05, Range = -1.781789163912348e-11
NEOXANS: Minimum = 2.860356643604717e-05, Maximum = 2.8603551359369623e-05, Range = -1.5076677546791177e-11
NOR: Minimum = 0.00026523307058880127, Maximum = 0.0002652596940587185, Range = 2.662346991721661e-08
PDS1: Minimum = 0.0002652330705888011, Maximum = 0.0002652596940571885, Range = 2.6623468387407343e-08
PDS2: Minimum = 0.0002652330705888011, Maximum = 0.0002652596940571885, Range = 2.6623468387407343e-08
VIOXANOR: Minimum = -4.680583598610459e-05, Maximum = 6.889688729065266, Range = 6.889735534901252
ZDS: Minimum = 0.0002652330705887446, Maximum = 0.00026525969405738573, Range = 2.662346864111065e-08
TCZCARI: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TCLYCI: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ANXANOR: Minimum = 0.0, Maximum = 6.889735534889607, Range = 6.889735534889607
CHYA1: Minimum = 0.0, Maximum = 9.881226833187145e-05, Range = 9.881226833187145e-05
CHYA2: Minimum = 2.1522237124837737e-20, Maximum = 9.881226833186656e-05, Range = 9.881226833186653e-05
CXHY: Minimum = 0.0, Maximum = 9.881226833186655e-05, Range = 9.881226833186655e-05
PSY: Minimum = 0.0002652330705888012, Maximum = 0.00026525969405737256, Range = 2.6623468571342242e-08
ZAXANOR: Minimum = 0.0, Maximum = 6.889735534889714, Range = 6.889735534889714
ZHY: Minimum = 0.0, Maximum = 9.881226833187145e-05, Range = 9.881226833187145e-05
PHYTOOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DCPHYTFLOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DCZCAROR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CY_focytc_h: Minimum = 0.0, Maximum = 0.655211513629785, Range = 0.655211513629785
CY_focytb5_c: Minimum = 0.0, Maximum = 0.018239544437188684, Range = 0.018239544437188684
ETF: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
ETFQO: Minimum = 0.0, Maximum = 1000.0000000000002, Range = 1000.0000000000002
CYSTAm: Minimum = 1.0315027373764561e-07, Maximum = 1000.0, Range = 999.9999998968498
MERCPPYRST: Minimum = 1.031502737376456e-07, Maximum = 6.889686231877237, Range = 6.889686128726963
3SPYRSPh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
3SPYRSPm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
