,fluxes
ACOADAGAT1601819Z160,0.008180154334720963
ACOADAGAT1601819Z180,0.007913784860151474
ACOADAGAT1601819Z18111Z,0.007932386246504016
ACOADAGAT1601819Z1819Z,0.007932386246504016
ACOADAGAT1601819Z1845Z9Z12Z15Z,0.007988531571316683
ACOADAGAT1801819Z160,0.007913784860151474
ACOADAGAT1801819Z180,0.007664215834757139
ACOADAGAT1801819Z18111Z,0.00768166120118891
ACOADAGAT1801819Z1819Z,0.00768166120118891
ACOADAGAT1801819Z1835Z9Z12Z,0.007716703927262638
ACOADAGAT1801819Z1845Z9Z12Z15Z,0.007734301584278488
ACOADAGAT18111Z18111Z160,0.007932386246504016
ACOADAGAT18111Z18111Z180,0.00768166120118891
ACOADAGAT18111Z18111Z18111Z,0.007699186167449434
ACOADAGAT18111Z18111Z1819Z,0.007699186167449434
ACOADAGAT18111Z18111Z1835Z9Z12Z,0.0077343893354622556
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,0.007752067839140148
ACOADAGAT18111Z1819Z160,0.007932386246504016
ACOADAGAT18111Z1819Z180,0.00768166120118891
ACOADAGAT18111Z1819Z18111Z,0.007699186167449434
ACOADAGAT18111Z1819Z1819Z,0.007699186167449434
ACOADAGAT18111Z1819Z1835Z9Z12Z,0.0077343893354622556
ACOADAGAT18111Z1819Z1845Z9Z12Z15Z,0.007752067839140148
ACOADAGAT1819Z18111Z160,0.007932386246504016
ACOADAGAT1819Z18111Z180,0.00768166120118891
ACOADAGAT1819Z18111Z18111Z,0.007699186167449434
ACOADAGAT1819Z18111Z1819Z,0.007699186167449434
ACOADAGAT1819Z18111Z1835Z9Z12Z,0.0077343893354622556
ACOADAGAT1819Z18111Z1845Z9Z12Z15Z,0.007752067839140148
ACOADAGAT1819Z1819Z160,0.007932386246504016
ACOADAGAT1819Z1819Z180,0.00768166120118891
ACOADAGAT1819Z1819Z18111Z,0.007699186167449434
ACPT1819Z18111Z,0.002986961967331776
ACPT1819Z1819Z,0.030447599979791285
ACOADAGAT1819Z1819Z1819Z,0.007699186167449434
ACOADAGAT1819Z1819Z1835Z9Z12Z,0.0077343893354622556
AGPAT1601819Zh,0.0
ACOADAGAT1819Z1819Z1845Z9Z12Z15Z,0.007752067839140148
AGPAT160h,0.015055743099159016
AGPAT1801819Zh,0.0
AGPAT18111Z160h,0.02408241806518051
AGPAT18111Z1819Zh,0.0
AGPAT1819Z160h,0.4238542242140207
DAGAH1819Z1819Z,0.0
DAGK16018111Z,0.0
DAGK1601819Z,0.0
DAGK1601819Zh,0.0
DAGK160h,0.0
DAGK1801819Z,0.0
DAGK1801819Zh,0.0
DAGK181_1,0.0
AGPAT1819Z1619Zh,0.004932827004643723
AGPAT1819Z18111Zh,0.0
