,fluxes
10FTHFGLULLm,0.0
FACOAL160,0.0
LIDOAMH,0.0
FAH120,0.0
ADCL,0.0
FAH140,0.0
LIDODM,0.0
FAH160,0.0
ADCS,0.0
AKP1_1,0.0
DHFOR,0.0
FAH1819Z,0.0
FAH1829Z12Z,0.0
LIDOMO,0.0
HACD1x,0.0
MEGLYXYLAMH,0.0
HACD2_1,0.0
DHFS,0.0
56DH5FLURAAMH,0.0
HACD3_1,0.0
HACD4p,0.0
HACD5p,0.0
DHNPA_1,0.0
5FLURAOR,0.0
DHPS,0.0
DNMPPA,0.0
DNTPPA_1,0.0
FOLD3_1,0.0
HACD6p,0.0
RFH,0.0
RGH,0.0
SFH,0.0
GTPCI_2,0.0
5FLURAPRT,0.0
HPPK_1,0.0
THFGLUH,0.0
THFGLUS_1,0.0
SGHA,0.0
SGHB,0.0
SYGH,0.0
THFOR1,0.0
6MPURPRT,0.0
THFOR2,0.0
AF1PT,0.0
UDPG4E,4.888272629912592
GLUDC,0.0
ARGDh,0.0
AGAKI,10.825017063146689
6TINS5MPOR,0.0
HEX4,0.0
GLNS,13.408044937641396
GAM,0.0
GDR,0.0
AM6PTh,0.0
6TXAN5MPAML,0.0
BFBP,0.0
BFBPh,0.0
F2PP,0.0
FBPPH,0.0
FPGPL,0.0
GTHOr,1.333781907423217
GDR_nadp_h,0.0
GTHOm,0.0
GDRh,0.5704063483765351
GDRm,0.0
MAN1PT,0.0
MAKI,-2.103062616638765
MPAKI,0.0
GLNTRS,0.0
GLUS_ferr,0.0
AFLBURPPAAMH,0.0
GLUTRS,0.0
PRDPARh,0.0
PMANM,-4.9317991313592146e-14
PFK26_1,0.0
SBTRh,0.0
GDHm,0.0
CYTP450R,0.0
GCL,0.0
GTHS_1,0.0
AGMIS,0.0
EMGH,0.0
GALh,0.0
GALm,1.681438669058119
GLUS,10.129850983639809
GDH,0.0
GALKr,0.0
GALKh,0.0
TEGAMO,0.0
GALO,0.0
GGGH,0.0
GDH_nadp,0.0
GTHAMPOR,-0.252183875847115
GTHAMPORh,0.0
GRGT,0.0
ACOADAGAT1601819Z1835Z9Z12Z,0.008290578826763501
IAGT,0.0
LCGH,0.0
MGHA,0.0
MGHB,0.0
MLGH,0.0
GTHAMPORm,0.0
GTHPi,1.0815980315761022
GTHPDSOR,-0.5704063483765353
ACOADAGAT16018111Z160,0.00850944310413317
